PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
CJ McCollum,"Tue
2/6",IND,vs,HOU,"W
132-129",29,18,2,7,1,2,8,15,53.3,2,6,33.3,0,1,0.0,58.3,0,2,2,1,-1
CJ McCollum,"Sun
2/4",IND,@,CHA,"W
115-99",20,17,1,4,1,2,6,8,75.0,3,5,60.0,2,3,66.7,91.2,0,1,1,0,=+13
CJ McCollum,"Fri
2/2",IND,vs,SAC,"L
122-133",22,14,3,1,1,0,6,10,60.0,1,3,33.3,1,1,100.0,67.0,1,2,5,1,-15
CJ McCollum,"Thu
2/1",IND,@,NYK,"L
105-109",22,15,4,5,0,2,6,10,60.0,2,6,33.3,1,1,100.0,71.8,0,4,1,1,=+5
CJ McCollum,"Fri
3/29",IND,vs,LAL,"W
109-90",33,21,8,8,2,0,7,15,46.7,3,8,37.5,4,4,100.0,62.6,0,8,2,2,=+27
CJ McCollum,"Wed
3/27",IND,@,CHI,"L
99-125",31,13,4,5,0,0,4,15,26.7,3,11,27.3,2,3,66.7,39.8,2,2,2,2,-7
CJ McCollum,"Mon
3/25",IND,@,LAC,"W
133-116",31,21,1,9,2,0,7,12,58.3,6,9,66.7,1,1,100.0,84.4,0,1,3,2,=+3
CJ McCollum,"Sun
3/24",IND,@,LAL,"L
145-150",33,12,6,10,2,0,5,13,38.5,2,6,33.3,0,0,,46.2,1,5,1,1,-12
CJ McCollum,"Fri
3/22",IND,@,GSW,"W
123-111",38,26,2,11,4,3,9,18,50.0,4,8,50.0,4,5,80.0,64.4,0,2,1,0,=+25
CJ McCollum,"Wed
3/20",IND,@,DET,"W
122-103",26,20,3,9,4,0,9,13,69.2,1,3,33.3,1,2,50.0,72.0,0,3,2,1,=+18
CJ McCollum,"Mon
3/18",IND,vs,CLE,"L
103-108",32,14,6,12,1,1,4,14,28.6,1,9,11.1,5,5,100.0,43.2,1,5,3,5,-7
