PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Bobby Portis,"Wed
11/1",MIL,@,TOR,"L
111-130",19,10,6,1,2,0,2,6,33.3,0,1,0.0,6,9,66.7,50.2,1,5,1,1,-7
Bobby Portis,"Mon
10/30",MIL,vs,MIA,"W
122-114",19,16,8,2,2,1,7,10,70.0,0,2,0.0,2,2,100.0,73.5,2,6,0,3,=+18
Bobby Portis,"Sun
10/29",MIL,vs,ATL,"L
110-127",21,12,4,2,0,0,5,10,50.0,0,2,0.0,2,2,100.0,55.1,1,3,3,2,-5
Bobby Portis,"Thu
10/26",MIL,vs,PHI,"W
118-117",19,10,6,2,0,1,5,8,62.5,0,0,,0,4,0.0,51.2,2,4,0,3,-10
Jabari Walker,"Fri
4/12",POR,vs,HOU,"L
107-116",14,9,5,0,0,0,3,4,75.0,1,1,100.0,2,4,50.0,78.1,1,4,1,1,-1
Jabari Walker,"Thu
4/11",POR,vs,GSW,"L
92-100",36,17,16,1,1,0,6,14,42.9,2,3,66.7,3,4,75.0,53.9,7,9,0,3,-14
Jabari Walker,"Tue
4/9",POR,vs,NOP,"L
100-110",28,4,10,0,0,0,2,5,40.0,0,1,0.0,0,0,,40.0,2,8,1,2,-18
Jabari Walker,"Sun
4/7",POR,@,BOS,"L
107-124",34,14,18,0,1,0,5,16,31.3,0,3,0.0,4,4,100.0,39.4,6,12,2,3,-9
Jabari Walker,"Fri
4/5",POR,@,WAS,"W
108-102",39,11,13,3,0,0,2,6,33.3,2,4,50.0,5,8,62.5,57.8,3,10,3,3,0
Jabari Walker,"Wed
4/3",POR,@,CHA,"W
89-86",42,14,22,2,0,1,4,17,23.5,1,3,33.3,5,5,100.0,36.5,3,19,0,4,0
Jabari Walker,"Mon
4/1",POR,@,ORL,"L
103-104",40,18,9,5,0,0,7,15,46.7,2,6,33.3,2,3,66.7,55.1,3,6,0,2,0
Jabari Walker,"Fri
3/29",POR,@,MIA,"L
82-142",35,4,3,2,0,0,1,6,16.7,0,2,0.0,2,3,66.7,27.3,1,2,1,2,-38
Jabari Walker,"Wed
3/27",POR,@,ATL,"L
106-120",19,4,4,1,0,0,2,5,40.0,0,0,,0,0,,40.0,1,3,0,3,-8
Jabari Walker,"Mon
3/25",POR,@,HOU,"L
92-110",26,7,5,0,0,0,3,6,50.0,0,1,0.0,1,2,50.0,50.9,1,4,0,3,-12
Jabari Walker,"Sat
3/23",POR,vs,DEN,"L
111-114",26,15,9,0,1,0,6,7,85.7,1,1,100.0,2,2,100.0,95.2,1,8,1,1,-8
