PLAYER NAME,DATE,MIN,PTS,REB,TOV
Shai Gilgeous-Alexander,1/3/2024,35,33,13,2.0
Shai Gilgeous-Alexander,1/2/2024,37,36,6,0.0
Shai Gilgeous-Alexander,12/31/2023,35,24,4,1.0
Shai Gilgeous-Alexander,12/29/2023,33,40,4,1.0
Shai Gilgeous-Alexander,12/27/2023,36,36,7,1.0
Shai Gilgeous-Alexander,12/26/2023,33,34,6,3.0
Shai Gilgeous-Alexander,12/23/2023,38,34,5,3.0
Shai Gilgeous-Alexander,12/21/2023,32,31,8,1.0
Shai Gilgeous-Alexander,12/18/2023,28,30,9,2.0
Shai Gilgeous-Alexander,12/16/2023,37,25,6,2.0
Shai Gilgeous-Alexander,12/14/2023,38,43,6,3.0
Shai Gilgeous-Alexander,12/11/2023,28,30,4,1.0
Shai Gilgeous-Alexander,12/8/2023,42,38,5,0.0
Shai Gilgeous-Alexander,12/6/2023,37,33,3,2.0
Shai Gilgeous-Alexander,12/2/2023,39,17,3,2.0
Shai Gilgeous-Alexander,11/30/2023,35,33,4,0.0
Shai Gilgeous-Alexander,11/28/2023,34,32,4,3.0
Shai Gilgeous-Alexander,11/25/2023,36,31,6,1.0
Shai Gilgeous-Alexander,11/22/2023,37,40,5,2.0
Shai Gilgeous-Alexander,11/19/2023,23,28,3,3.0
Shai Gilgeous-Alexander,11/18/2023,41,40,7,3.0
Shai Gilgeous-Alexander,11/16/2023,29,24,2,2.0
Shai Gilgeous-Alexander,11/14/2023,28,28,6,2.0
Shai Gilgeous-Alexander,11/12/2023,37,35,7,1.0
Shai Gilgeous-Alexander,11/10/2023,38,33,7,2.0
Shai Gilgeous-Alexander,11/8/2023,38,43,7,3.0
Shai Gilgeous-Alexander,11/6/2023,37,30,8,2.0
Shai Gilgeous-Alexander,11/1/2023,38,20,5,2.0
Shai Gilgeous-Alexander,10/30/2023,33,32,9,5.0
Shai Gilgeous-Alexander,10/29/2023,28,7,4,0.0
Shai Gilgeous-Alexander,10/27/2023,36,34,11,5.0
Shai Gilgeous-Alexander,10/25/2023,36,31,5,1.0
Jalen Brunson,4/14/2024,41,40,8,4.0
Jalen Brunson,4/12/2024,37,30,1,0.0
Jalen Brunson,4/11/2024,30,39,2,2.0
Jalen Brunson,4/9/2024,42,45,3,1.0
Jalen Brunson,4/7/2024,39,43,6,1.0
Jalen Brunson,4/5/2024,42,35,6,5.0
Jalen Brunson,4/4/2024,38,35,2,3.0
Jalen Brunson,4/2/2024,36,20,2,5.0
Jalen Brunson,3/31/2024,35,30,2,3.0
Jalen Brunson,3/29/2024,43,61,4,1.0
Jalen Brunson,3/27/2024,29,26,4,0.0
Jalen Brunson,3/25/2024,30,28,2,0.0
Jalen Brunson,3/23/2024,33,17,4,1.0
Jalen Brunson,3/21/2024,34,26,2,0.0
Jalen Brunson,3/18/2024,35,34,5,3.0
Jalen Brunson,3/16/2024,36,42,4,6.0
Jalen Brunson,3/14/2024,38,45,1,5.0
Jalen Brunson,3/12/2024,27,20,4,1.0
Jalen Brunson,3/10/2024,32,19,3,2.0
Jalen Brunson,3/8/2024,29,26,3,1.0
Jalen Brunson,3/3/2024,1,0,0,0.0
Jalen Brunson,2/29/2024,37,27,5,4.0
Jalen Brunson,2/26/2024,40,35,1,4.0
Jalen Brunson,2/24/2024,38,34,3,4.0
Jalen Brunson,2/22/2024,39,21,2,7.0
Jalen Brunson,2/14/2024,35,33,1,3.0
Jalen Brunson,2/12/2024,39,27,4,5.0
Jalen Brunson,2/10/2024,37,39,3,2.0
Jalen Brunson,2/6/2024,31,27,3,2.0
Jalen Brunson,2/3/2024,45,36,6,3.0
Jalen Brunson,2/1/2024,37,40,5,2.0
Jalen Brunson,1/30/2024,38,29,3,0.0
Jalen Brunson,1/29/2024,34,32,4,2.0
Jalen Brunson,1/27/2024,38,32,5,0.0
Jalen Brunson,1/25/2024,27,21,1,2.0
Jalen Brunson,1/23/2024,36,30,3,2.0
Jalen Brunson,1/20/2024,35,38,5,3.0
Jalen Brunson,1/18/2024,40,41,8,6.0
Jalen Brunson,1/17/2024,37,30,3,2.0
Jalen Brunson,1/11/2024,39,30,2,4.0
Jalen Brunson,1/9/2024,26,12,3,0.0
Jalen Brunson,1/6/2024,35,33,3,2.0
Jalen Brunson,1/5/2024,32,29,3,0.0
Jalen Brunson,1/3/2024,38,31,3,4.0
Jalen Brunson,1/1/2024,41,16,4,2.0
Jalen Brunson,12/30/2023,41,28,1,4.0
Jalen Brunson,12/29/2023,34,20,7,3.0
Jalen Brunson,12/27/2023,37,24,4,5.0
Jalen Brunson,12/25/2023,37,38,4,0.0
Jalen Brunson,12/23/2023,37,36,3,3.0
Jalen Brunson,12/20/2023,32,16,7,3.0
Jalen Brunson,12/18/2023,37,29,4,4.0
Jalen Brunson,12/16/2023,34,22,7,2.0
Jalen Brunson,12/15/2023,35,50,6,2.0
Jalen Brunson,12/13/2023,39,23,7,3.0
Jalen Brunson,12/11/2023,38,21,2,7.0
Jalen Brunson,12/8/2023,34,23,1,1.0
Jalen Brunson,12/5/2023,34,24,3,3.0
Jalen Brunson,12/1/2023,37,22,5,2.0
Jalen Brunson,11/30/2023,40,42,6,1.0
Jalen Brunson,11/28/2023,34,12,3,2.0
Jalen Brunson,11/26/2023,38,35,6,2.0
Jalen Brunson,11/24/2023,34,24,3,2.0
Jalen Brunson,11/20/2023,36,25,4,1.0
Jalen Brunson,11/18/2023,39,32,4,2.0
Jalen Brunson,11/17/2023,34,32,7,0.0
Jalen Brunson,11/15/2023,41,24,0,3.0
Jalen Brunson,11/13/2023,39,26,3,2.0
Jalen Brunson,11/12/2023,27,20,1,1.0
Jalen Brunson,11/8/2023,33,25,2,0.0
Jalen Brunson,11/6/2023,35,7,3,4.0
Jalen Brunson,11/3/2023,42,45,5,4.0
Jalen Brunson,11/1/2023,39,24,4,1.0
Jalen Brunson,10/31/2023,34,19,5,5.0
Jalen Brunson,10/28/2023,31,14,4,1.0
Jalen Brunson,10/27/2023,33,31,3,2.0
Jalen Brunson,10/25/2023,33,15,3,2.0
Kevin Durant,4/14/2024,38,15,4,4.0
Kevin Durant,4/12/2024,42,28,5,3.0
Kevin Durant,4/10/2024,37,24,9,4.0
Kevin Durant,4/9/2024,40,21,2,1.0
Kevin Durant,4/7/2024,38,23,4,0.0
Kevin Durant,4/5/2024,35,22,6,1.0
Kevin Durant,4/3/2024,36,32,6,4.0
Kevin Durant,4/1/2024,41,20,7,3.0
Kevin Durant,3/29/2024,31,26,6,3.0
Kevin Durant,3/27/2024,38,30,13,8.0
Kevin Durant,3/25/2024,36,29,8,3.0
Kevin Durant,3/23/2024,31,25,4,0.0
Kevin Durant,3/21/2024,37,19,4,5.0
Kevin Durant,3/20/2024,36,22,8,4.0
Kevin Durant,3/17/2024,41,11,9,1.0
Kevin Durant,3/15/2024,38,13,8,3.0
Kevin Durant,3/14/2024,34,20,3,3.0
Kevin Durant,3/11/2024,39,37,8,3.0
Kevin Durant,3/9/2024,37,45,10,6.0
Kevin Durant,3/7/2024,35,35,3,4.0
Kevin Durant,3/5/2024,44,35,8,2.0
Kevin Durant,3/3/2024,36,20,4,5.0
Kevin Durant,3/2/2024,39,30,9,6.0
Kevin Durant,2/29/2024,40,24,7,3.0
Kevin Durant,2/25/2024,39,22,5,3.0
Kevin Durant,2/23/2024,38,28,11,2.0
Kevin Durant,2/22/2024,40,23,6,5.0
Kevin Durant,2/14/2024,30,25,6,5.0
Kevin Durant,2/13/2024,38,28,11,3.0
Kevin Durant,2/10/2024,39,24,10,6.0
Kevin Durant,2/8/2024,35,31,8,3.0
Kevin Durant,2/6/2024,39,28,10,5.0
Kevin Durant,2/4/2024,26,18,4,1.0
Kevin Durant,2/2/2024,38,35,8,4.0
Kevin Durant,1/31/2024,38,33,5,3.0
Kevin Durant,1/29/2024,42,20,8,1.0
Kevin Durant,1/28/2024,37,15,4,7.0
Kevin Durant,1/26/2024,39,20,7,1.0
Kevin Durant,1/24/2024,38,12,10,1.0
Kevin Durant,1/22/2024,41,43,6,1.0
Kevin Durant,1/21/2024,40,40,9,2.0
Kevin Durant,1/19/2024,35,26,5,1.0
Kevin Durant,1/16/2024,39,27,5,7.0
Kevin Durant,1/14/2024,38,21,5,3.0
Kevin Durant,1/11/2024,32,18,5,1.0
Kevin Durant,1/8/2024,35,30,7,3.0
Kevin Durant,1/7/2024,36,23,10,1.0
Kevin Durant,12/31/2023,39,31,5,0.0
Kevin Durant,12/29/2023,39,21,4,1.0
Kevin Durant,12/27/2023,41,27,10,3.0
Kevin Durant,12/25/2023,43,16,8,6.0
Kevin Durant,12/22/2023,34,28,7,7.0
Kevin Durant,12/19/2023,38,40,4,5.0
Kevin Durant,12/17/2023,35,28,5,2.0
Kevin Durant,12/15/2023,36,29,3,0.0
Kevin Durant,12/13/2023,38,27,6,2.0
Kevin Durant,12/5/2023,39,31,7,5.0
Kevin Durant,12/2/2023,33,27,2,2.0
Kevin Durant,12/1/2023,36,30,4,1.0
Kevin Durant,11/29/2023,36,30,4,1.0
Kevin Durant,11/22/2023,34,32,8,6.0
Kevin Durant,11/21/2023,37,31,4,3.0
Kevin Durant,11/19/2023,46,39,8,7.0
Kevin Durant,11/17/2023,33,38,9,1.0
Kevin Durant,11/15/2023,35,31,6,2.0
Kevin Durant,11/12/2023,36,28,9,3.0
Kevin Durant,11/10/2023,39,38,9,4.0
Kevin Durant,11/8/2023,42,25,7,6.0
Kevin Durant,11/5/2023,35,41,4,3.0
Kevin Durant,11/4/2023,36,31,8,5.0
Kevin Durant,11/2/2023,37,28,6,3.0
Kevin Durant,10/31/2023,37,26,2,5.0
Kevin Durant,10/28/2023,29,26,4,2.0
Kevin Durant,10/26/2023,39,39,11,8.0
Kevin Durant,10/24/2023,37,18,11,2.0
Devin Booker,4/14/2024,36,23,4,1.0
Devin Booker,4/12/2024,41,21,4,4.0
Devin Booker,4/10/2024,39,37,1,1.0
Devin Booker,4/9/2024,40,12,3,3.0
Devin Booker,4/7/2024,39,25,3,4.0
Devin Booker,4/5/2024,34,13,3,7.0
Devin Booker,4/3/2024,37,40,1,4.0
Devin Booker,4/1/2024,39,52,3,3.0
Devin Booker,3/29/2024,27,14,3,3.0
Devin Booker,3/27/2024,37,17,5,2.0
Devin Booker,3/25/2024,40,36,6,5.0
Devin Booker,3/23/2024,31,32,7,2.0
Devin Booker,3/21/2024,32,30,4,2.0
Devin Booker,3/20/2024,35,18,9,2.0
Devin Booker,3/17/2024,40,23,9,2.0
Devin Booker,3/15/2024,36,21,6,2.0
Devin Booker,3/14/2024,38,23,2,0.0
Devin Booker,3/11/2024,38,27,6,2.0
Devin Booker,3/2/2024,38,24,2,5.0
Devin Booker,2/29/2024,39,35,7,1.0
Devin Booker,2/25/2024,38,21,3,3.0
Devin Booker,2/23/2024,36,25,5,1.0
Devin Booker,2/22/2024,39,35,5,4.0
Devin Booker,2/14/2024,5,7,1,1.0
Devin Booker,2/13/2024,38,25,3,3.0
Devin Booker,2/10/2024,38,32,4,2.0
Devin Booker,2/6/2024,38,32,1,1.0
Devin Booker,2/4/2024,26,14,1,0.0
Devin Booker,2/2/2024,38,24,6,2.0
Devin Booker,1/31/2024,36,22,3,2.0
Devin Booker,1/29/2024,41,22,8,0.0
Devin Booker,1/28/2024,36,44,4,4.0
Devin Booker,1/26/2024,38,62,5,4.0
Devin Booker,1/24/2024,35,46,7,2.0
Devin Booker,1/22/2024,41,16,4,2.0
Devin Booker,1/21/2024,36,26,6,2.0
Devin Booker,1/19/2024,37,52,4,1.0
Devin Booker,1/16/2024,38,16,4,2.0
Devin Booker,1/14/2024,39,34,6,0.0
Devin Booker,1/11/2024,34,31,5,3.0
Devin Booker,1/8/2024,34,20,0,6.0
Devin Booker,1/7/2024,37,24,0,2.0
Devin Booker,1/5/2024,35,20,5,3.0
Devin Booker,1/3/2024,37,35,2,6.0
Devin Booker,1/1/2024,31,10,8,2.0
Devin Booker,12/31/2023,37,21,4,1.0
Devin Booker,12/29/2023,37,35,4,2.0
Devin Booker,12/27/2023,36,20,4,4.0
Devin Booker,12/25/2023,40,20,3,3.0
Devin Booker,12/22/2023,36,24,4,0.0
Devin Booker,12/19/2023,38,26,3,1.0
Devin Booker,12/17/2023,41,27,4,5.0
