PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Luka Dončić,"Wed
10/25",DAL,@,SAS,"W
126-119",34,33,13,10,2,0,13,25,52,3,11,27.3,4,7,57.1,58.8,1,12,4,1,4
Giannis Antetokounmpo,"Tue
4/9",MIL,vs,BOS,"W
104-91",29,15,8,7,1,2,7,11,63.6,0,0,,1,2,50,63.1,3,5,4,1,17
Giannis Antetokounmpo,"Sun
4/7",MIL,vs,NYK,"L
109-122",39,28,15,8,1,2,10,20,50,0,1,0,8,11,72.7,56.4,3,12,4,2,-5
Giannis Antetokounmpo,"Wed
4/3",MIL,vs,MEM,"L
101-111",32,21,7,8,1,5,10,23,43.5,0,4,0,1,3,33.3,43.2,1,6,3,4,3
Giannis Antetokounmpo,"Tue
4/2",MIL,@,WAS,"L
113-117",36,35,15,10,0,0,15,21,71.4,0,0,,5,9,55.6,70.1,3,12,2,2,2
Giannis Antetokounmpo,"Sat
3/30",MIL,@,ATL,"W
122-113",38,36,16,8,3,1,12,22,54.5,0,1,0,12,16,75,62,4,12,3,2,8
Giannis Antetokounmpo,"Thu
3/28",MIL,@,NOP,"L
100-107",39,35,14,4,0,0,15,22,68.2,0,2,0,5,11,45.5,65.2,3,11,2,5,-2
Giannis Antetokounmpo,"Tue
3/26",MIL,vs,LAL,"L
124-128",46,29,21,11,2,3,14,25,56,0,1,0,1,6,16.7,52.5,8,13,7,3,-13
Giannis Antetokounmpo,"Sun
3/24",MIL,vs,OKC,"W
118-93",34,30,19,4,0,1,13,18,72.2,0,0,,4,6,66.7,72.7,8,11,3,3,7
Giannis Antetokounmpo,"Thu
3/21",MIL,vs,BKN,"W
115-108",35,21,9,5,0,2,9,19,47.4,1,2,50,2,4,50,50.6,3,6,2,3,5
Giannis Antetokounmpo,"Thu
3/14",MIL,vs,PHI,"W
114-105",37,32,11,7,1,0,9,12,75,0,0,,14,18,77.8,80.3,4,7,7,4,-4
Giannis Antetokounmpo,"Tue
3/12",MIL,@,SAC,"L
94-129",33,30,13,4,1,0,10,17,58.8,0,2,0,10,14,71.4,64.8,1,12,4,3,-18
Giannis Antetokounmpo,"Sun
3/10",MIL,@,LAC,"W
124-117",39,34,7,10,1,1,12,24,50,0,2,0,10,15,66.7,55.6,0,7,3,3,19
Giannis Antetokounmpo,"Fri
3/8",MIL,@,LAL,"L
122-123",39,34,14,12,1,1,14,23,60.9,1,3,33.3,5,7,71.4,65.2,2,12,4,2,-4
Giannis Antetokounmpo,"Wed
3/6",MIL,@,GSW,"L
90-125",33,23,7,6,0,1,8,15,53.3,1,3,33.3,6,9,66.7,60.7,2,5,2,1,-6
Giannis Antetokounmpo,"Fri
3/1",MIL,@,CHI,"W
113-97",37,46,16,6,1,1,16,22,72.7,2,3,66.7,12,16,75,79.2,5,11,1,3,6
Giannis Antetokounmpo,"Thu
2/29",MIL,@,CHA,"W
111-99",33,24,10,5,0,0,10,15,66.7,2,2,100,2,3,66.7,73.5,2,8,1,3,16
Giannis Antetokounmpo,"Tue
2/27",MIL,vs,CHA,"W
123-85",24,24,8,1,0,0,8,13,61.5,1,1,100,7,8,87.5,72.6,3,5,1,1,25
Giannis Antetokounmpo,"Sun
2/25",MIL,@,PHI,"W
119-98",36,30,12,9,0,1,10,17,58.8,1,2,50,9,12,75,67.3,1,11,6,1,14
Giannis Antetokounmpo,"Fri
2/23",MIL,@,MIN,"W
112-107",41,33,13,5,1,0,9,13,69.2,1,1,100,14,21,66.7,74.2,4,9,3,1,1
Giannis Antetokounmpo,"Thu
2/15",MIL,@,MEM,"L
110-113",37,35,4,12,0,0,15,17,88.2,0,0,,5,9,55.6,83.5,0,4,1,5,-14
Giannis Antetokounmpo,"Tue
2/13",MIL,vs,MIA,"L
97-123",34,23,11,8,0,2,11,18,61.1,1,2,50,0,0,,63.9,2,9,5,0,-23
Giannis Antetokounmpo,"Mon
2/12",MIL,vs,DEN,"W
112-95",30,36,18,5,3,2,14,19,73.7,0,0,,8,14,57.1,71.5,4,14,2,2,18
Giannis Antetokounmpo,"Fri
2/9",MIL,vs,CHA,"W
120-84",24,15,14,3,1,1,5,10,50,0,1,0,5,7,71.4,57.3,1,13,0,5,28
Giannis Antetokounmpo,"Thu
2/8",MIL,vs,MIN,"L
105-129",27,17,3,7,1,0,7,14,50,0,2,0,3,7,42.9,49.8,1,2,3,1,-18
Giannis Antetokounmpo,"Tue
2/6",MIL,@,PHX,"L
106-114",39,34,10,6,0,0,13,24,54.2,1,3,33.3,7,13,53.8,57.2,4,6,5,5,1
Giannis Antetokounmpo,"Sun
2/4",MIL,@,UTA,"L
108-123",40,33,7,13,0,1,11,15,73.3,0,2,0,11,15,73.3,76.4,2,5,5,3,-8
Giannis Antetokounmpo,"Sat
2/3",MIL,@,DAL,"W
129-117",40,48,6,10,5,1,20,28,71.4,2,5,40,6,10,60,74.1,1,5,1,3,15
Giannis Antetokounmpo,"Wed
1/31",MIL,@,POR,"L
116-119",38,27,8,4,3,1,10,16,62.5,0,2,0,7,11,63.6,64.8,3,5,6,5,6
Giannis Antetokounmpo,"Mon
1/29",MIL,@,DEN,"L
107-113",37,29,12,4,1,1,11,19,57.9,1,1,100,6,11,54.5,60.8,2,10,2,4,-3
Giannis Antetokounmpo,"Sat
1/27",MIL,vs,NOP,"W
141-117",29,30,12,4,2,0,11,16,68.8,1,1,100,7,11,63.6,72,1,11,1,3,23
Giannis Antetokounmpo,"Fri
1/26",MIL,vs,CLE,"L
100-112",36,22,11,9,1,1,9,13,69.2,0,0,,4,9,44.4,64.9,2,9,6,5,8
Giannis Antetokounmpo,"Wed
1/24",MIL,vs,CLE,"W
126-116",35,35,18,10,0,2,16,24,66.7,1,1,100,2,3,66.7,69.1,2,16,2,3,11
Giannis Antetokounmpo,"Mon
1/22",MIL,@,DET,"W
122-113",36,31,17,10,3,2,11,25,44,1,5,20,8,12,66.7,51.2,3,14,2,3,12
Giannis Antetokounmpo,"Sat
1/20",MIL,@,DET,"W
141-135",38,31,10,9,2,1,10,16,62.5,0,1,0,11,22,50,60.4,3,7,5,1,13
Giannis Antetokounmpo,"Sun
1/14",MIL,vs,SAC,"W
143-142",40,27,10,10,3,0,9,16,56.3,0,2,0,9,14,64.3,60.9,1,9,4,4,-13
Giannis Antetokounmpo,"Sat
1/13",MIL,vs,GSW,"W
129-118",37,33,9,5,0,0,13,22,59.1,1,3,33.3,6,8,75,64.7,3,6,4,3,1
Giannis Antetokounmpo,"Thu
1/11",MIL,vs,BOS,"W
135-102",26,24,12,6,1,1,10,13,76.9,0,0,,4,5,80,78.9,5,7,4,2,38
Giannis Antetokounmpo,"Mon
1/8",MIL,vs,UTA,"L
116-132",38,25,10,11,0,0,10,20,50,0,2,0,5,9,55.6,52.2,4,6,4,5,-14
Giannis Antetokounmpo,"Sat
1/6",MIL,@,HOU,"L
108-112",39,48,17,2,0,1,16,25,64,1,2,50,15,21,71.4,70.1,3,14,2,4,-1
Giannis Antetokounmpo,"Thu
1/4",MIL,@,SAS,"W
125-121",40,44,14,7,2,1,19,28,67.9,2,3,66.7,4,6,66.7,71.8,3,11,1,3,11
Giannis Antetokounmpo,"Wed
1/3",MIL,@,IND,"L
130-142",36,26,11,8,3,1,8,13,61.5,1,2,50,9,13,69.2,69.4,0,11,3,2,-12
Giannis Antetokounmpo,"Mon
1/1",MIL,vs,IND,"L
113-122",37,30,18,11,1,2,11,20,55,0,3,0,8,11,72.7,60.4,3,15,4,3,3
Giannis Antetokounmpo,"Fri
12/29",MIL,@,CLE,"W
119-111",37,34,16,5,1,0,14,22,63.6,0,1,0,6,7,85.7,67.8,2,14,3,2,12
Giannis Antetokounmpo,"Wed
12/27",MIL,@,BKN,"W
144-122",30,32,10,8,0,2,10,12,83.3,0,0,,12,17,70.6,82.1,2,8,2,2,8
Giannis Antetokounmpo,"Mon
12/25",MIL,@,NYK,"L
122-129",39,32,13,6,1,2,13,24,54.2,1,2,50,5,9,55.6,57.2,5,8,2,4,-5
Giannis Antetokounmpo,"Sat
12/23",MIL,@,NYK,"W
130-111",32,28,7,7,1,1,11,17,64.7,0,0,,6,8,75,68.2,2,5,5,4,3
Giannis Antetokounmpo,"Thu
12/21",MIL,vs,ORL,"W
118-114",37,37,10,6,0,2,11,25,44,0,3,0,15,19,78.9,55.5,2,8,5,4,9
Giannis Antetokounmpo,"Tue
12/19",MIL,vs,SAS,"W
132-119",34,11,14,16,2,1,4,12,33.3,0,2,0,3,6,50,37.6,2,12,3,1,13
Giannis Antetokounmpo,"Sun
12/17",MIL,vs,HOU,"W
128-119",39,26,17,3,0,0,10,22,45.5,1,3,33.3,5,11,45.5,48.4,6,11,6,3,11
Giannis Antetokounmpo,"Sat
12/16",MIL,vs,DET,"W
146-114",26,22,8,6,1,0,7,9,77.8,0,0,,8,13,61.5,74.7,1,7,0,1,22
Giannis Antetokounmpo,"Wed
12/13",MIL,vs,IND,"W
140-126",37,64,14,3,4,1,20,28,71.4,0,3,0,24,32,75,76,3,11,4,1,29
Giannis Antetokounmpo,"Mon
12/11",MIL,vs,CHI,"W
133-129",41,32,12,6,2,0,9,13,69.2,0,0,,14,18,77.8,76.5,1,11,2,2,13
Giannis Antetokounmpo,"Thu
12/7",MIL,vs,IND,"L
119-128",41,37,10,2,0,2,13,19,68.4,0,1,0,11,13,84.6,74.8,1,9,1,3,-5
Giannis Antetokounmpo,"Tue
12/5",MIL,vs,NYK,"W
146-122",34,35,8,10,3,0,15,22,68.2,1,1,100,4,9,44.4,67.4,3,5,4,3,19
Giannis Antetokounmpo,"Sat
12/2",MIL,vs,ATL,"W
132-121",36,32,11,10,2,1,14,20,70,0,1,0,4,5,80,72.1,2,9,5,1,8
Giannis Antetokounmpo,"Thu
11/30",MIL,@,CHI,"L
113-120",39,26,14,5,2,5,11,17,64.7,0,1,0,4,4,100,69.3,6,8,5,5,-8
Giannis Antetokounmpo,"Tue
11/28",MIL,@,MIA,"W
131-124",40,33,10,5,3,1,11,16,68.8,1,2,50,10,13,76.9,76,2,8,4,3,18
Giannis Antetokounmpo,"Sun
11/26",MIL,vs,POR,"W
108-102",39,33,16,6,1,3,11,21,52.4,0,1,0,11,18,61.1,57.1,6,10,4,5,9
Giannis Antetokounmpo,"Fri
11/24",MIL,vs,WAS,"W
131-128",37,31,9,3,3,1,11,19,57.9,0,0,,9,12,75,63.8,3,6,3,2,-10
Giannis Antetokounmpo,"Wed
11/22",MIL,@,BOS,"L
116-119",37,21,13,5,2,0,7,20,35,0,3,0,7,10,70,43,3,10,3,4,6
Giannis Antetokounmpo,"Mon
11/20",MIL,@,WAS,"W
142-129",34,42,13,8,1,1,20,23,87,0,0,,2,6,33.3,81.9,6,7,5,2,10
Giannis Antetokounmpo,"Sat
11/18",MIL,vs,DAL,"W
132-125",38,40,15,7,2,1,18,26,69.2,1,3,33.3,3,5,60,70.9,2,13,3,3,-7
Giannis Antetokounmpo,"Fri
11/17",MIL,@,CHA,"W
130-99",28,16,8,9,1,0,6,10,60,0,0,,4,7,57.1,61.2,0,8,4,5,6
Giannis Antetokounmpo,"Mon
11/13",MIL,vs,CHI,"W
118-109",35,35,11,2,0,0,13,22,59.1,1,3,33.3,8,14,57.1,62.1,3,8,3,4,13
Giannis Antetokounmpo,"Sat
11/11",MIL,@,ORL,"L
97-112",37,35,10,7,4,2,15,22,68.2,0,1,0,5,12,41.7,64.1,2,8,6,4,-11
Giannis Antetokounmpo,"Thu
11/9",MIL,@,IND,"L
124-126",36,54,12,3,0,0,19,25,76,0,1,0,16,18,88.9,82,2,10,8,4,6
Giannis Antetokounmpo,"Wed
11/8",MIL,vs,DET,"W
120-118",22,15,9,5,0,3,6,16,37.5,0,2,0,3,6,50,40.2,0,9,1,1,5
Giannis Antetokounmpo,"Mon
11/6",MIL,@,BKN,"W
129-125",35,36,12,3,1,2,15,27,55.6,1,7,14.3,5,6,83.3,60.7,2,10,3,1,15
Giannis Antetokounmpo,"Fri
11/3",MIL,vs,NYK,"W
110-105",36,22,8,6,0,1,6,10,60,3,3,100,7,13,53.8,70,1,7,7,3,13
Giannis Antetokounmpo,"Wed
11/1",MIL,@,TOR,"L
111-130",28,16,4,2,1,0,5,11,45.5,0,0,,6,9,66.7,53.5,3,1,3,3,-10
Giannis Antetokounmpo,"Mon
10/30",MIL,vs,MIA,"W
122-114",32,33,7,2,0,1,12,21,57.1,1,3,33.3,8,11,72.7,63.9,1,6,2,3,18
Giannis Antetokounmpo,"Sun
10/29",MIL,vs,ATL,"L
110-127",29,26,11,3,1,2,9,14,64.3,0,1,0,8,10,80,70.7,5,6,3,2,-11
Giannis Antetokounmpo,"Thu
10/26",MIL,vs,PHI,"W
118-117",35,23,12,3,2,2,10,21,47.6,0,3,0,3,9,33.3,46.1,4,8,7,4,-13
Shai Gilgeous-Alexander,"Sun
4/14",OKC,vs,DAL,"W
135-86",16,15,1,6,0,0,5,11,45.5,0,4,0,5,5,100,56.8,1,0,0,1,33
Shai Gilgeous-Alexander,"Fri
4/12",OKC,vs,MIL,"W
125-107",29,23,7,3,0,1,7,21,33.3,0,7,0,9,9,100,46.1,1,6,0,1,10
Shai Gilgeous-Alexander,"Wed
4/10",OKC,vs,SAS,"W
127-89",26,26,6,5,0,0,10,18,55.6,1,3,33.3,5,5,100,64.4,0,6,1,1,26
