PLAYER NAME,DATE,MIN,PTS,REB,TOV
Jalen Brunson,"Tue
3/12",27,20,4,1.0
Jalen Brunson,"Sun
3/10",32,19,3,2.0
Jalen Brunson,"Fri
3/8",29,26,3,1.0
Jalen Brunson,"Sun
3/3",1,0,0,0.0
Jalen Brunson,"Thu
2/29",37,27,5,4.0
Jalen Brunson,"Mon
2/26",40,35,1,4.0
Jalen Brunson,"Sat
2/24",38,34,3,4.0
Jalen Brunson,"Thu
2/22",39,21,2,7.0
Jalen Brunson,"Wed
2/14",35,33,1,3.0
Jalen Brunson,"Mon
2/12",39,27,4,5.0
Jalen Brunson,"Sat
2/10",37,39,3,2.0
Jalen Brunson,"Tue
2/6",31,27,3,2.0
Jalen Brunson,"Sat
2/3",45,36,6,3.0
Jalen Brunson,"Thu
2/1",37,40,5,2.0
Jalen Brunson,"Tue
1/30",38,29,3,0.0
Jalen Brunson,"Mon
1/29",34,32,4,2.0
Jalen Brunson,"Sat
1/27",38,32,5,0.0
Jalen Brunson,"Thu
1/25",27,21,1,2.0
Jalen Brunson,"Tue
1/23",36,30,3,2.0
Jalen Brunson,"Sat
1/20",35,38,5,3.0
Jalen Brunson,"Thu
1/18",40,41,8,6.0
Jalen Brunson,"Wed
1/17",37,30,3,2.0
Jalen Brunson,"Thu
1/11",39,30,2,4.0
Jalen Brunson,"Tue
1/9",26,12,3,0.0
Jalen Brunson,"Sat
1/6",35,33,3,2.0
Jalen Brunson,"Fri
1/5",32,29,3,0.0
Jalen Brunson,"Wed
1/3",38,31,3,4.0
Jalen Brunson,"Mon
1/1",41,16,4,2.0
Jalen Brunson,"Sat
12/30",41,28,1,4.0
Jalen Brunson,"Fri
12/29",34,20,7,3.0
Jalen Brunson,"Wed
12/27",37,24,4,5.0
Jalen Brunson,"Mon
12/25",37,38,4,0.0
Jalen Brunson,"Sat
12/23",37,36,3,3.0
Jalen Brunson,"Wed
12/20",32,16,7,3.0
Jalen Brunson,"Mon
12/18",37,29,4,4.0
Jalen Brunson,"Sat
12/16",34,22,7,2.0
Jalen Brunson,"Fri
12/15",35,50,6,2.0
Jalen Brunson,"Wed
12/13",39,23,7,3.0
Jalen Brunson,"Mon
12/11",38,21,2,7.0
Jalen Brunson,"Fri
12/8",34,23,1,1.0
Jalen Brunson,"Tue
12/5",34,24,3,3.0
Jalen Brunson,"Fri
12/1",37,22,5,2.0
Jalen Brunson,"Thu
11/30",40,42,6,1.0
Jalen Brunson,"Tue
11/28",34,12,3,2.0
Jalen Brunson,"Sun
11/26",38,35,6,2.0
Jalen Brunson,"Fri
11/24",34,24,3,2.0
Jalen Brunson,"Mon
11/20",36,25,4,1.0
Jalen Brunson,"Sat
11/18",39,32,4,2.0
Jalen Brunson,"Fri
11/17",34,32,7,0.0
Jalen Brunson,"Wed
11/15",41,24,0,3.0
Jalen Brunson,"Mon
11/13",39,26,3,2.0
Jalen Brunson,"Sun
11/12",27,20,1,1.0
Jalen Brunson,"Wed
11/8",33,25,2,0.0
Jalen Brunson,"Mon
11/6",35,7,3,4.0
Jalen Brunson,"Fri
11/3",42,45,5,4.0
Jalen Brunson,"Wed
11/1",39,24,4,1.0
Jalen Brunson,"Tue
10/31",34,19,5,5.0
Jalen Brunson,"Sat
10/28",31,14,4,1.0
Jalen Brunson,"Fri
10/27",33,31,3,2.0
Jalen Brunson,"Wed
10/25",33,15,3,2.0
Kevin Durant,"Sun
4/14",38,15,4,4.0
Kevin Durant,"Fri
4/12",42,28,5,3.0
Kevin Durant,"Wed
4/10",37,24,9,4.0
Kevin Durant,"Tue
4/9",40,21,2,1.0
Kevin Durant,"Sun
4/7",38,23,4,0.0
Kevin Durant,"Fri
4/5",35,22,6,1.0
Kevin Durant,"Wed
4/3",36,32,6,4.0
Kevin Durant,"Mon
4/1",41,20,7,3.0
Kevin Durant,"Fri
3/29",31,26,6,3.0
Kevin Durant,"Wed
3/27",38,30,13,8.0
Kevin Durant,"Mon
3/25",36,29,8,3.0
Kevin Durant,"Sat
3/23",31,25,4,0.0
Kevin Durant,"Thu
3/21",37,19,4,5.0
Kevin Durant,"Wed
3/20",36,22,8,4.0
Kevin Durant,"Sun
3/17",41,11,9,1.0
Kevin Durant,"Fri
3/15",38,13,8,3.0
Kevin Durant,"Thu
3/14",34,20,3,3.0
Kevin Durant,"Mon
3/11",39,37,8,3.0
Kevin Durant,"Sat
3/9",37,45,10,6.0
Kevin Durant,"Thu
3/7",35,35,3,4.0
Kevin Durant,"Tue
3/5",44,35,8,2.0
