PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Rudy Gobert,"Tue
2/6",MIN,@,CHI,"L
123-129",44,12,16,1,1,1,3,6,50.0,0,0,,6,10,60.0,57.7,7,9,1,5,-8
Rudy Gobert,"Sun
2/4",MIN,vs,HOU,"W
111-90",31,17,13,1,1,4,7,9,77.8,0,0,,3,5,60.0,75.9,3,10,0,1,=+32
Rudy Gobert,"Fri
2/2",MIN,vs,ORL,"L
106-108",39,22,16,2,0,2,6,7,85.7,0,0,,10,11,90.9,92.9,3,13,1,5,0
Rudy Gobert,"Sun
3/31",MIN,vs,CHI,"L
101-109",38,19,10,1,2,1,8,8,100.0,0,0,,3,7,42.9,85.7,3,7,1,2,-4
Rudy Gobert,"Fri
3/29",MIN,@,DEN,"W
111-98",35,21,12,2,0,3,7,8,87.5,0,0,,7,15,46.7,71.9,3,9,0,5,=+1
Rudy Gobert,"Wed
3/27",MIN,vs,DET,"W
106-91",34,11,14,4,0,2,5,5,100.0,0,0,,1,1,100.0,101.1,5,9,3,4,=+20
Rudy Gobert,"Sun
3/24",MIN,vs,GSW,"W
114-110",37,17,12,2,0,1,7,10,70.0,0,0,,3,3,100.0,75.1,1,11,4,5,=+8
Rudy Gobert,"Fri
3/22",MIN,vs,CLE,"W
104-91",37,9,15,1,0,2,4,8,50.0,0,0,,1,4,25.0,46.1,6,9,1,2,=+10
Rudy Gobert,"Tue
3/12",MIN,@,LAC,"W
118-100",33,8,11,3,2,2,4,7,57.1,0,0,,0,0,,57.1,7,4,0,2,=+11
Rudy Gobert,"Fri
3/8",MIN,@,CLE,"L
104-113",37,7,17,2,1,2,3,7,42.9,0,0,,1,2,50.0,44.4,4,13,2,6,=+7
Rudy Gobert,"Thu
3/7",MIN,@,IND,"W
113-111",40,18,14,0,2,3,7,11,63.6,0,0,,4,5,80.0,68.2,6,8,2,2,=+6
Rudy Gobert,"Mon
3/4",MIN,vs,POR,"W
119-114",39,25,16,0,1,3,9,10,90.0,0,0,,7,7,100.0,95.6,5,11,3,6,-4
Rudy Gobert,"Sun
3/3",MIN,vs,LAC,"L
88-89",40,12,16,2,0,3,5,7,71.4,0,0,,2,2,100.0,76.1,3,13,1,3,=+4
